rank,pos_rank,name,position,team,proj_points,floor,ceil,draft_value,adp,adp_gap,espn_proj,injury,line_source,pass_yds,pass_td,interceptions,rush_yds,rush_td,receptions,rec_yds,rec_td,fumbles
363,K31,Chad Ryland,K,ARI,121.7,97.3,146.0,-22.7,169.9,-193.1,121.7,ACTIVE,espn,,,,,,,,,
364,K32,Andre Szmyt,K,CLE,121.7,97.4,146.1,-22.7,169.8,-194.2,121.7,ACTIVE,espn,,,,,,,,,
365,DST21,Colts D/ST,DST,IND,75.2,60.1,90.2,-25.1,170.1,-194.9,75.2,,espn,,,,,,,,,
366,DST22,Vikings D/ST,DST,MIN,74.3,59.4,89.2,-26.0,168.5,-197.5,74.3,,espn,,,,,,,,,
367,DST23,Bengals D/ST,DST,CIN,73.5,58.8,88.2,-26.8,169.8,-197.2,73.5,,espn,,,,,,,,,
368,DST24,Giants D/ST,DST,NYG,70.0,56.0,84.1,-30.3,169.4,-198.6,70.0,,espn,,,,,,,,,
369,DST25,Titans D/ST,DST,TEN,67.0,53.6,80.4,-33.3,169.9,-199.1,67.0,,espn,,,,,,,,,
370,DST26,Panthers D/ST,DST,CAR,62.3,49.8,74.7,-38.0,169.7,-200.3,62.3,,espn,,,,,,,,,
371,DST27,Commanders D/ST,DST,WAS,61.7,49.4,74.1,-38.6,169.6,-201.4,61.7,,espn,,,,,,,,,
372,DST28,Falcons D/ST,DST,ATL,60.6,48.5,72.7,-39.7,170.2,-201.8,60.6,,espn,,,,,,,,,
373,DST29,Bills D/ST,DST,BUF,58.5,46.8,70.2,-41.8,168.8,-204.2,58.5,,espn,,,,,,,,,
374,DST30,Raiders D/ST,DST,LV,53.9,43.1,64.6,-46.4,169.7,-204.3,53.9,,espn,,,,,,,,,
375,DST31,Cardinals D/ST,DST,ARI,50.7,40.6,60.8,-49.6,169.8,-205.2,50.7,,espn,,,,,,,,,
376,DST32,Dolphins D/ST,DST,MIA,44.5,35.6,53.4,-55.8,169.4,-206.6,44.5,,espn,,,,,,,,,
377,K33,Justin Tucker,K,,0.0,0.0,0.0,-144.4,169.5,-207.5,,ACTIVE,espn,,,,,,,,,
378,K34,Younghoe Koo,K,,0.0,0.0,0.0,-144.4,169.7,-208.3,0.0,ACTIVE,espn,,,,,,,,,
379,K35,Brandon McManus,K,,0.0,0.0,0.0,-144.4,169.9,-209.1,0.0,ACTIVE,espn,,,,,,,,,
380,K36,Matt Prater,K,,0.0,0.0,0.0,-144.4,169.9,-210.1,,ACTIVE,espn,,,,,,,,,
381,K37,Zane Gonzalez,K,,0.0,0.0,0.0,-144.4,170.0,-211.0,0.0,QUESTIONABLE,espn,,,,,,,,,
382,K38,Spencer Shrader,K,IND,0.0,0.0,0.0,-144.4,169.9,-212.1,0.0,ACTIVE,espn,,,,,,,,,
383,K39,Ben Sauls,K,NYG,0.0,0.0,0.0,-144.4,169.7,-213.3,0.0,ACTIVE,espn,,,,,,,,,
384,K40,Jake Moody,K,,0.0,0.0,0.0,-144.4,169.8,-214.2,0.0,ACTIVE,espn,,,,,,,,,
385,K41,Graham Gano,K,,0.0,0.0,0.0,-144.4,170.0,-215.0,0.0,QUESTIONABLE,espn,,,,,,,,,
